Frase,Sentimento
a pandemia me impediu de fazer muitas coisas legais infelizmente não pude aproveitar esse ano,tristeza
"acordei desanimada, não quero fazer nada o dia todo",tristeza
"não consigo parar de chorar, foi horrível perder um parente próximo por causa de uma pandemia",tristeza
me sinto amada pelos meus familiares e isso me faz muito bem,felicidade
"estou feliz porque consegui o estágio que queria, agora é só felicidade!",felicidade
"receber você na minha casa é uma alegria imensa, venha sempre que puder",felicidade
"me sinto muito bem hoje, estou disposta, feliz e bem humorada",felicidade
"te odeio pelo que você é, não pelo que faz",raiva
"só tenho raiva, ódio e rancor",raiva
"obrigada por me ajudar, fiquei contente com isso",felicidade
"estou contente fui aprovada na faculdade, vou cursar o que eu gosto",felicidade
sou muito grata a você,felicidade
"corrupção é algo me decepciona, sempre que vejo notícias sobre isso fico mal",tristeza
"a covid matou muitas pessoas no mundo todo, isso é algo muito triste",tristeza
"meu pai está muito doente, não sei se ele vai conseguir sobreviver, estou abalada",tristeza
"queria que fosse o último dia da minha vida, não desejo mais viver nesse mundo injusto",tristeza
"não gostei de ficar no mesmo local que aquela pessoa, odeio o jeito que ela se comporta",raiva
estou a ponto de cometer um crime de tanto ódio que sinto,raiva
"falhei em tudo nessa vida, fui muito humilhado, não sei mais para quê sirvo",tristeza
"fui demitida essa semana, e não sei o que fazer, me sinto triste com toda essa situação",tristeza
já é tarde demais infelizmente nosso amor acabou não quero ficar com você,tristeza
eu sinto ciúmes e a raiva vem de brinde,raiva
"odeio lições de moral, especialmente de quem não tem moral",raiva
"tem gente que não adianta mandar para o inferno, porque o capeta devolve",raiva
"que alegria ter a companhia de vocês nesse dia especial, me sinto bem com todos ao meu lado",felicidade
"desejo a você tudo de bom, muitas felicidades",felicidade
a saudade é algo triste,tristeza
"sem você aqui o tempo só maltrata os dias são ruins, a vida tá sem graça",tristeza
"tenho tanto azar, fico mais triste ainda com isso",tristeza
você faz falta,tristeza
ainda bem que te encontrei agora sou mais feliz,felicidade
"está tudo indo muito bem, todos estão felizes com suas vidas",felicidade
"odiei essa roupa que ganhei, a pessoa sabe que odeio e mesmo assim comprou para mim",raiva
"que trânsito maldito, perdi muito tempo parado aqui nessa porra",raiva
"este é um trabalho agradável, o ambiente é bastante acolhedor ",felicidade
hoje é um belo dia para viver e se divertir,felicidade
"que ótimo dia, vai dar tudo certo",felicidade
"saber encontrar a alegria na alegria dos outros, é o segredo da felicidade",felicidade
a alegria de fazer o bem é a única felicidade verdadeira,felicidade
o melhor lugar do mundo é sempre ao lado de quem te faz feliz,felicidade
"a maior felicidade é ver algum amigo meu atingir seus objetivos, comemoro como se fosse uma vitória minha",felicidade
"o meu trabalho me deixa imensamente feliz, adoro a área que atuo",felicidade
não teria que controlar a minha raiva se as pessoas aprendessem a controlar a estupidez,raiva
"me sinto vazia, sem ela nada disso importa",raiva
"que droga, eu não passei de ano na escola",raiva
não tenho paciência com gente lerda e burra,raiva
"infelizmente terei que deixar você, vamos acabar nosso relacionamento",tristeza
sacrificar ou maltratar animais devido à ganância é muito triste,tristeza
"acordei triste demais, não consigo sequer sair da minha cama",tristeza
"o que me deixa triste é saber que não posso fazer nada para ajudar, me sinto inútil vendo algo ruim acontecer",tristeza
"porra, eu não quero esperar nada, sai da minha frente",raiva
"preconceito me dá muita raiva, que povo escroto",raiva
saia de perto de mim agora,raiva
"se ele não sair daqui agora, vou bater nele",raiva
odeio ter que acordar muito cedo,raiva
eu vou matar ele,raiva
"te odeio, não quero mais saber de você",raiva
não quero saber de nada,raiva
odeio essa lanchonete,raiva
"o passeio que a gente fez hoje foi horrível, só perdi meu tempo",raiva
"se meus olhos mostrassem a minha alma, todos, ao me verem, chorariam comigo",tristeza
"sofro com essa distância entre nós, não aguento mais ficar longe",tristeza
estou em grande sofrimento me ajude,tristeza
"me sinto só, me sinto triste, já não vejo mais sentido em nada que faço só queria que essa dor passasse",tristeza
"queria parar de chorar por um momento, me sinto mal a todo instante, qualquer ambiente me deixa mal",tristeza
choro porque é a única forma de me livrar dessa tristeza,tristeza